Filename,Model1 Prediction,Model1 Confidence,Model2 Prediction,Model2 Confidence,Final Prediction,Final Confidence,Is Disease,Risk Tier
ce6933ab48224505b6644938713f2040_Mixed_Data_1010.jpg,Normal,0.9837,Lung Opacity,0.9471,Normal,0.9837,False,Normal
d39dac1ace624439a45bc288b99b930e_Mixed_Data_1012.jpg,Normal,0.6301,Lung Opacity,0.9963,Lung Opacity,0.9963,True,High
a3900906981c49ec99912eebc0ed18f2_Mixed_Data_1014.jpg,Normal,0.9972,Normal,0.7990,Normal,0.9972,False,Normal
9e6225c9061147d48ceb8416a05f8587_Mixed_Data_102.jpg,Normal,0.9999,Normal,0.7075,Normal,0.9999,False,Normal
b7e640b6775d4a3c8f8fd409ba0ae4b5_Mixed_Data_1021.jpg,Normal,0.9989,Lung Opacity,0.5204,Normal,0.9989,False,Normal
4cc1578bd71446af8fabecb7e7cfc407_Mixed_Data_1023.jpg,Normal,0.9590,Lung Opacity,0.5667,Normal,0.9590,False,Normal
fea0ed6aba1049aeb9b89a4b13075080_Mixed_Data_1025.jpg,Normal,0.7307,Lung Opacity,0.7796,Lung Opacity,0.7796,True,Medium
5d5fb74b26c749b8b03e379c989cee0c_Mixed_Data_1027.jpg,Normal,1.0000,Normal,0.9672,Normal,1.0000,False,Normal
ff7dbe101be342cb8532b6c0cb2fdea8_Mixed_Data_1029.jpg,Normal,0.9986,Normal,0.6258,Normal,0.9986,False,Normal
03e98cd189d642dd967f03eb32d19fd6_Mixed_Data_1031.jpg,Normal,0.9999,Normal,0.9513,Normal,0.9999,False,Normal
44e58edd4ecf4a8d89d0904cb93d7f99_Mixed_Data_1036.jpg,Normal,0.9972,Lung Opacity,0.9034,Normal,0.9972,False,Normal
70cbd67557b0457f8696fe14248cade0_Mixed_Data_1037.jpg,Normal,0.9833,Lung Opacity,0.9748,Normal,0.9833,False,Normal
80d40597785f40f494973dc92636e538_Mixed_Data_1041.jpg,Normal,0.9928,Lung Opacity,0.9558,Normal,0.9928,False,Normal
a14de9b44c86401fa8874e40e20b09aa_Mixed_Data_1043.jpg,Normal,0.7716,Lung Opacity,0.9921,Lung Opacity,0.9921,True,High
219184f0091f439aaea0eab338df23ee_Mixed_Data_1044.jpg,Normal,0.9986,Lung Opacity,0.9276,Normal,0.9986,False,Normal
29661656c5924f6d988eb282e2967afb_Mixed_Data_1045.jpg,Normal,0.9951,Lung Opacity,0.9269,Normal,0.9951,False,Normal
e0ce3076624a45a9a4a3ed2d99d18519_Mixed_Data_1048.jpg,Normal,0.8275,Lung Opacity,0.9775,Lung Opacity,0.9775,True,High
7b9b74db1a8849cd8f2812da2d2c629a_Mixed_Data_1051.jpg,Normal,0.9916,Lung Opacity,0.6721,Normal,0.9916,False,Normal
4c58a977cb084bb7b061a4af23b2abbf_Mixed_Data_1052.jpg,Normal,0.9559,Normal,0.5731,Normal,0.9559,False,Normal
41dfe14ffb814f31bb872cb27f8c8b3f_Mixed_Data_1069.jpg,Normal,0.9991,Lung Opacity,0.7257,Normal,0.9991,False,Normal
966298b514324e38924a571309f514c6_Mixed_Data_1071.jpg,Normal,0.9731,Lung Opacity,0.8515,Normal,0.9731,False,Normal
